#ID	VF39e502A	VF39e502B	VF39Wt	VF39Solid	swarm/solid	VF39e502A/VF-WT
2513710432	105	130	228	180	1	0.5
2513710764	53	77	116	128	1	0.5
2513707638	18	20	39	17	2	0.5
2513713176	15	20	32	39	1	0.5
2513710551	16	18	35	34	1	0.5
2513712605	68	74	148	65	2	0.5
2513709382	31	34	69	63	1	0.5
2513712644	36	46	80	47	2	0.5
2513710656	18	20	40	30	1	0.5
2513709367	20	12	44	39	1	0.5
2513711103	34	32	75	48	2	0.4
2513712970	33	30	75	54	1	0.4
2513708144	19	17	42	48	1	0.4
2513709827	35	67	79	112	1	0.4
2513709963	47	52	105	106	1	0.4
2513714456	28	27	64	44	1	0.4
2513707997	100	107	229	300	1	0.4
2513712109	16	17	36	21	2	0.4
2513713819	19	16	44	26	2	0.4
2513711058	213	191	487	608	1	0.4
2513713175	10	10	23	32	1	0.4
2513710660	73	83	168	144	1	0.4
2513710659	37	45	86	75	1	0.4
2513710471	17	16	40	37	1	0.4
2513713903	47	55	110	89	1	0.4
2513713857	11	10	25	29	1	0.4
2513709733	13	20	29	60	0	0.4
2513713820	15	15	36	22	2	0.4
2513710110	109	109	254	96	3	0.4
2513710491	97	99	226	196	1	0.4
2513708077	1452	1719	3430	2205	2	0.4
2513712603	71	100	168	84	2	0.4
2513713171	27	28	65	35	2	0.4
2513713821	14	11	34	22	2	0.4
2513709822	14	13	33	25	1	0.4
2513709257	3105	4217	7448	2670	3	0.4
2513707688	3012	4553	7235	2391	3	0.4
2513713084	23	31	55	38	1	0.4
2513711988	78	228	189	257	1	0.4
2513710581	124	268	301	300	1	0.4
2513712602	327	373	795	540	1	0.4
2513711766	21	26	51	59	1	0.4
2513713902	70	68	170	103	2	0.4
2513712606	88	97	215	55	4	0.4
2513707631	20	21	48	24	2	0.4
2513710550	18	19	45	39	1	0.4
2513712657	23	22	58	40	1	0.4
2513709632	14	16	35	51	1	0.4
2513713172	29	31	73	36	2	0.4
2513708296	25	28	63	62	1	0.4
2513709346	58	107	149	167	1	0.4
2513711749	84	134	213	102	2	0.4
2513714065	15	17	38	33	1	0.4
2513710059	20	21	51	63	1	0.4
2513709824	16	14	41	21	2	0.4
2513713890	19	20	48	23	2	0.4
2513709105	27	38	72	51	1	0.4
2513710658	36	44	95	78	1	0.4
2513713213	97	172	254	133	2	0.4
2513712444	79	192	206	276	1	0.4
2513713429	13	11	33	30	1	0.4
2513709376	23	20	60	34	2	0.4
2513709265	302	373	805	482	2	0.4
2513708451	80	79	217	227	1	0.4
2513710470	22	22	59	50	1	0.4
2513707259	46	45	123	58	2	0.4
2513709726	12	12	33	31	1	0.4
2513714066	71	71	191	209	1	0.4
2513713177	45	155	122	343	0	0.4
2513707260	28	24	77	29	3	0.4
2513710944	14	14	39	58	1	0.4
2513708463	24	29	66	84	1	0.4
2513711858	39	44	107	70	2	0.4
2513709823	14	14	38	23	2	0.4
2513713892	1187	818	3359	1891	2	0.4
2513708924	26	16	74	13	6	0.4
2513710861	31	30	90	59	2	0.3
2513711989	153	416	440	381	1	0.3
2513712601	47	60	136	83	2	0.3
2513712515	18	14	53	41	1	0.3
2513713885	14	17	43	32	1	0.3
2513713005	15	48	44	55	1	0.3
2513713040	68	30	210	239	1	0.3
2513713888	1646	1341	5120	2085	2	0.3
2513712870	17	17	53	35	2	0.3
2513709826	12	12	38	21	2	0.3
2513712864	43	51	139	105	1	0.3
2513713290	13	32	44	70	1	0.3
2513707630	13	14	45	15	3	0.3
2513711584	54	157	181	371	0	0.3
2513708297	17	14	56	27	2	0.3
2513713291	14	33	47	58	1	0.3
2513713886	43	27	152	85	2	0.3
2513713494	24	22	84	96	1	0.3
2513713893	76	65	280	137	2	0.3
2513710037	18	15	67	53	1	0.3
